,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
53,53,"[[-0.2663380121585908, -0.05587408197138812, 0.9727112505159781], [0.8219615849785527, 0.5292848090090648, 0.25725765010084667], [-0.5243592393598787, 0.8601061855723813, -0.09374843445172548]]",0.025698360055685043,0.28245249192288385,-0.3657477899896665,-0.0135850367299436
54,29,"[[-0.2999166802873224, -0.09858277730424708, 0.9594626980789083], [0.5017036592469291, 0.8428654597786331, 0.24527386843110516], [-0.8245073018675878, 0.5502154438638132, -0.2015421137141793]]",0.06773269176483154,0.0,0.0,0.0
55,25,"[[-0.3126790930283813, -0.12909268743200328, 0.9517388385522891], [0.42359984821496455, 0.8804143932644897, 0.26041607747026757], [-0.8627048755859995, 0.48059609715606616, -0.21872055026669146]]",0.05817287787795067,0.0,0.0,0.0
56,27,"[[-0.31972646978179586, -0.13903967656388064, 0.9479890342528384], [0.4515578480254429, 0.8601487873690588, 0.2803076664049445], [-0.8457640497784678, 0.5133705688741295, -0.21036770966102794]]",0.05417393520474434,0.0009175872763504098,-0.00013850046308642132,-0.0009731106152814778
57,37,"[[-0.29353191137872936, -0.09616659013462482, 0.9616785173776431], [0.615627910548323, 0.7567450358112083, 0.2654487420653789], [-0.7458697698507744, 0.664064742330447, -0.16134355321683655]]",0.0860024243593216,-0.0032469698431069967,0.004299219285836763,0.0005963193372770918
58,40,"[[-0.29731206087324025, -0.0944793193419638, 0.9606858800473043], [0.6519464747126981, 0.7222147554987762, 0.2746645480401209], [-0.7127712612837622, 0.7016917569214992, -0.1515667632904806]]",0.04571767523884773,0.10955432367242988,-0.10456742829932457,0.026337521698172845
59,87,"[[-0.3147927759942829, -0.08734208200397868, 0.9557806388046507], [0.9603574302081878, -0.02324182894942842, 0.315441732491349], [-0.006349341685412497, 1.0073414238516747, 0.09136153890187153]]",0.07944601774215698,-0.0015519092778622224,0.02392101720999771,0.0034427602316665414
60,7,"[[-0.30544053186955133, -0.13668843322003732, 0.9530274573739834], [0.13908601229399054, 0.9840889635078522, 0.18731846881153663], [-0.9533412693482143, 0.18873858454576417, -0.2794794932024229]]",0.07669589668512344,0.02717130231050579,-0.002589196610825035,-0.042293341133293264
61,28,"[[-0.2721033343930594, -0.052076697313173465, 0.9713316858740875], [0.4938520417031611, 0.8623669867121458, 0.18639572574927238], [-0.8388237728857121, 0.5259345657335349, -0.2071565758464765]]",0.054285094141960144,-0.17262201527371315,0.10525211700799783,-0.04275650385728702
62,96,"[[-0.2972153441110266, -0.088154202930521, 0.9613166506137947], [0.9563308020657006, -0.17021654179796256, 0.2810969548609373], [0.13632211322243765, 0.9930509315131603, 0.13477515521109185]]",0.09787411242723465,0.016680047436714456,0.125659264960926,0.016394527234453563
63,55,"[[-0.3046274684607883, -0.08807012974370747, 0.9589976052981841], [0.8020124840511769, 0.5341408395883254, 0.30562018925620393], [-0.5342910776207356, 0.8542964725617745, -0.09077215231325941]]",0.05624822899699211,0.0,0.0,0.0
64,44,"[[-0.31696769567217326, -0.10228730222848155, 0.9535736655708094], [0.6912232818735745, 0.672279142714605, 0.303756868223339], [-0.6657081081767017, 0.7486270192354408, -0.14082989529996148]]",0.07008453458547592,0.00945837426356742,-0.0155558784720662,-0.0014248740703352797
65,47,"[[-0.3112390202213741, -0.09365289213701103, 0.9563429930943852], [0.7166067058667831, 0.6475787302150078, 0.29849781255422586], [-0.6411555462082761, 0.7711903407099634, -0.13289844811859908]]",0.0672033354640007,-0.3436571147708666,0.4234756776773432,-0.06548945377014495
66,88,"[[-0.2460371433050575, -0.08219857823206828, 0.9761911356944508], [0.9803432164612009, -0.028283579749600506, 0.2459214598043345], [0.006322150601566998, 1.007645796849563, 0.08782726417941668]]",0.06795640289783478,0.0029750680924794494,-0.008303349035796243,-0.00015521188217188582
67,50,"[[-0.34826630019641036, -0.13269548583716925, 0.9387962753301743], [0.7386125476925955, 0.5893946714355718, 0.3591965099872706], [-0.5954241864252722, 0.8110234367846898, -0.10588755559587379]]",0.07188724726438522,-0.15146325955977086,0.010201061031329457,0.07177518851843051
68,17,"[[-0.28438575468525107, -0.0642537964155201, 0.9670747177705024], [0.3226584995832395, 0.9450306682456987, 0.1593907395837659], [-0.9146207418378857, 0.3546206765423712, -0.24611519737203502]]",0.056802667677402496,0.8816172189724026,-0.33468999924538956,0.18958674038862186
69,32,"[[-0.3147493027597509, -0.11973855343067127, 0.9522764036784437], [0.5356051862612543, 0.8102520253630234, 0.2807839928832782], [-0.797183149230801, 0.5932663858758837, -0.18913521648429119]]",0.06442100554704666,-0.003443194780174713,-0.00035990060466873177,-0.001434621300974396
70,14,"[[-0.297774580425792, -0.09218821845005024, 0.9607651915578896], [0.2613097404335556, 0.9611499362125836, 0.17490134646576744], [-0.9298061972057653, 0.3009536777684214, -0.26011641470649594]]",0.09711848944425583,0.0007426977721440744,-3.9174974530403215e-05,-0.0004883379075157712
71,46,"[[-0.3072510263514026, -0.09012188916671852, 0.9579708750758744], [0.7183403410257326, 0.6480730380361475, 0.29322734762878666], [-0.6411212742881565, 0.7712185303957265, -0.1328614751830319]]",0.0692528486251831,0.006923559190267726,-0.00744922687819006,0.0025219131263352484
72,20,"[[-0.2905181215115307, -0.0803317687243596, 0.9640457691171969], [0.3638982647882733, 0.9244339530672326, 0.18845248995753666], [-0.897042120174715, 0.40235007315716415, -0.23742583551780091]]",0.06817177683115005,0.03191577619918178,-0.021554426603344112,0.046538372220360065
73,56,"[[-0.29805665834684925, -0.09712592226527485, 0.9601824121739092], [0.8170863015672667, 0.5099528620903598, 0.3070125068041409], [-0.5148050505251384, 0.8679852532879483, -0.07149172432676813]]",0.1605275422334671,0.056017580185863676,-0.09164868877778887,0.00804889656061943
74,52,"[[-0.3002732420364167, -0.09395893617259679, 0.9598133303556203], [0.7736647923058692, 0.5772033352467175, 0.3003704184091536], [-0.5768783402781953, 0.8251477541873933, -0.09929328766429689]]",0.11257907748222351,0.0,0.0,0.0
75,0,"[[-0.2964457998701494, -0.01135864633025278, 0.965520491884839], [0.06804034657293175, 1.0085947120788663, 0.034191660562570676], [-0.9637977612309138, 0.07577997827142814, -0.29621661003458305]]",0.15686102211475372,-0.004753529735905477,-0.011145462863566113,0.10402126189820882
